,ParticleSwarmOptimization,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WhaleOptimizationAlgorithm,WaterWaveOptimization
0,-1.0315227733941534,-1.0316284534898774,-1.03162822854648,-1.0246986159409903,-1.0316284531292577,-1.031628452915784,-1.03141437572225
1,-1.031043209460173,-1.0316284534898774,-1.0316284341183908,-1.0206771569396802,-1.031628453360584,-1.0316284085280092,-1.0316157303579407
2,-1.022671053293734,-1.0316284534898774,-1.031627642699349,-1.0304991558898409,-1.03162844939131,-1.0316284194427996,-1.0316284371706017
3,-1.029765930577655,-1.0316284534898774,-1.0264465015935735,-1.0192384761778632,-1.0316284517579009,-1.0316284215343443,-1.0314548898858211
4,-1.030135196164511,-1.0316284534898774,-1.0316284528462578,-1.0313351733171017,-1.0316284488041252,-1.0316283029945146,-1.0316209474707538
5,-1.017100499708954,-1.0316284534898774,-1.0316282528144176,-1.0285474664599352,-1.0316284529766964,-1.0316284480638462,-1.0316035044780278
6,-1.0285310722790382,-1.0316284534898774,-1.0316274131572845,-1.0164825042493029,-1.0316284525193524,-1.031628450633849,-1.0285099857229512
7,-1.029978389383939,-1.0316284534898774,-1.031628420622367,-1.0256481147030267,-1.031628446978853,-1.0316284532469937,-1.0285973466501186
8,-1.0312816002909582,-1.0316284534898763,-1.0316283544554732,-1.0245569471072205,-1.0316284481643343,-1.0316284525179569,-1.0316237016238503
9,-1.0301423861915575,-1.0316284534898774,-1.0316280511448388,-1.0312986628473089,-1.0316284499254047,-1.0316284534136435,-1.030430602563983
