,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,SquirrelSearchAlgorithm,KrillHerd,WaterWaveOptimization,ArtificialBeeColony
0,3371.6060059225165,1737.7733872905335,1462.2876084053723,1585.274477530905,2100062666.3108768,2179.9425489769296,4250.412525019454,2566.746439142192,1483.43733628158
1,11657.47659978831,5735.529049322156,1441.914524717057,5396.931686674227,2158699200.419175,3286.8271005401225,2441.1975580139638,2526.419253270781,1740.768852654033
2,1496.9649172617503,5113.953794811741,1431.6143258593152,1621.5860621540644,2062769175.3209157,3755.33993044756,1548.761318638539,3941.9514929527168,2862.407009450707
3,1657.8513346781494,1921.927898221941,1437.104990915368,5401.215178234732,2110618664.4624677,1608.6269105721717,4567.385394640285,5754.333583786886,2734.928824802293
4,5845.128313772906,1937.880646073964,1436.5442713188768,2381.5611941545167,2082245541.123709,1837.281598980617,2461.6314184997427,2517.8368971215914,1666.8539106152311
5,1711.6812324494608,1872.7405788151837,1435.110468601497,1612.0033613932585,2035596557.606872,1815.9538302901487,3225.136710941104,1738.009686558943,1773.3354390564791
6,2385.468694265862,1929.6262205913588,1436.5575260929393,1567.585717739341,940719264.5461044,3287.8622848526998,10418.180267642054,4477.576216329871,1430.3627094851176
7,8294.813737805034,2305.141230589331,1427.6321585758214,4252.562316866648,2130111932.9538045,1596.4434780047875,1890.9542564515004,1708.387295672794,1851.9224693467684
8,1565.7774876721735,1693.444067375818,1426.7285936429864,5811.79031972191,2146708580.3391345,1598.8400774050904,3612.075227432759,2322.054637273264,2820.373945871358
9,5096.622181188117,2148.55039977446,1424.0784649822006,5810.387087644644,2132966915.1012063,1631.7160536223678,13903.153591845325,1993.5294152721908,1990.594633786117
10,12088.318250600152,2208.914217820816,12088.318250600152,12088.318250600152,12088.318250600152,12088.318250600152,12088.318250600152,2208.914217820816,
11,10598.718620642485,1747.7324954012663,10598.718620642485,10598.718620642485,10598.718620642485,10598.718620642485,10598.718620642485,1747.7324954012663,
12,27361.64744717995,1956.860517127258,27361.64744717995,27361.64744717995,27361.64744717995,27361.64744717995,27361.64744717995,1956.860517127258,
13,34582.901938344665,2717.902039872596,34582.901938344665,34582.901938344665,34582.901938344665,34582.901938344665,34582.901938344665,2717.902039872596,
14,8038.565019454524,2607.235854334066,8038.565019454524,8038.565019454524,8038.565019454524,8038.565019454524,8038.565019454524,2607.235854334066,
15,2978.335656229337,1534.7564198956115,2978.335656229337,2978.335656229337,2978.335656229337,2978.335656229337,2978.335656229337,1534.7564198956115,
16,5800.033135122212,5435.883804045945,5800.033135122212,5800.033135122212,5800.033135122212,5800.033135122212,5800.033135122212,5435.883804045945,
17,14457.60969475116,6552.329826009291,14457.60969475116,14457.60969475116,14457.60969475116,14457.60969475116,14457.60969475116,6552.329826009291,
18,22362.85556011372,5696.065532718262,22362.85556011372,22362.85556011372,22362.85556011372,22362.85556011372,22362.85556011372,5696.065532718262,
19,28083.365066287093,2862.5214537811617,28083.365066287093,28083.365066287093,28083.365066287093,28083.365066287093,28083.365066287093,2862.5214537811617,
20,3898652.8427298046,12088.318250600152,3898652.8427298046,3898652.8427298046,3898652.8427298046,3898652.8427298046,3898652.8427298046,12088.318250600152,
21,3308295.360976766,10598.718620642485,3308295.360976766,3308295.360976766,3308295.360976766,3308295.360976766,3308295.360976766,10598.718620642485,
22,2765274.6690108413,27361.64744717995,2765274.6690108413,2765274.6690108413,2765274.6690108413,2765274.6690108413,2765274.6690108413,27361.64744717995,
23,2416754.5862613125,34582.901938344665,2416754.5862613125,2416754.5862613125,2416754.5862613125,2416754.5862613125,2416754.5862613125,34582.901938344665,
24,2836912.0561977467,8038.565019454524,2836912.0561977467,2836912.0561977467,2836912.0561977467,2836912.0561977467,2836912.0561977467,8038.565019454524,
25,12546342.072541049,2978.335656229337,12546342.072541049,12546342.072541049,12546342.072541049,12546342.072541049,12546342.072541049,2978.335656229337,
26,6550359.669987899,5800.033135122212,6550359.669987899,6550359.669987899,6550359.669987899,6550359.669987899,6550359.669987899,5800.033135122212,
27,381755.3684164745,14457.60969475116,381755.3684164745,381755.3684164745,381755.3684164745,381755.3684164745,381755.3684164745,14457.60969475116,
28,35360.51753676312,22362.85556011372,35360.51753676312,35360.51753676312,35360.51753676312,35360.51753676312,35360.51753676312,22362.85556011372,
29,355636.9746540355,28083.365066287093,355636.9746540355,355636.9746540355,355636.9746540355,355636.9746540355,355636.9746540355,28083.365066287093,
30,1324.9697537692728,3898652.8427298046,1324.9697537692728,1324.9697537692728,1324.9697537692728,1324.9697537692728,1324.9697537692728,3898652.8427298046,
31,1218.3254017025658,3308295.360976766,1218.3254017025658,1218.3254017025658,1218.3254017025658,1218.3254017025658,1218.3254017025658,3308295.360976766,
32,1236.1844085953687,2765274.6690108413,1236.1844085953687,1236.1844085953687,1236.1844085953687,1236.1844085953687,1236.1844085953687,2765274.6690108413,
33,1279.2188642661158,2416754.5862613125,1279.2188642661158,1279.2188642661158,1279.2188642661158,1279.2188642661158,1279.2188642661158,2416754.5862613125,
34,1247.2660419277931,2836912.0561977467,1247.2660419277931,1247.2660419277931,1247.2660419277931,1247.2660419277931,1247.2660419277931,2836912.0561977467,
35,1160.5119851030051,12546342.072541049,1160.5119851030051,1160.5119851030051,1160.5119851030051,1160.5119851030051,1160.5119851030051,12546342.072541049,
36,1210.4379784435878,6550359.669987899,1210.4379784435878,1210.4379784435878,1210.4379784435878,1210.4379784435878,1210.4379784435878,6550359.669987899,
37,1201.4145082728123,381755.3684164745,1201.4145082728123,1201.4145082728123,1201.4145082728123,1201.4145082728123,1201.4145082728123,381755.3684164745,
38,1193.7207868748844,35360.51753676312,1193.7207868748844,1193.7207868748844,1193.7207868748844,1193.7207868748844,1193.7207868748844,35360.51753676312,
39,1266.2571850072477,355636.9746540355,1266.2571850072477,1266.2571850072477,1266.2571850072477,1266.2571850072477,1266.2571850072477,355636.9746540355,
