,fitness,0,0.1
0,0.04883024966869387,,
1,0.027546114153122137,,
2,0.057344751154869034,,
3,0.05639778298070697,,
4,0.013391322385349458,,
5,0.05434625718953301,,
6,0.005391655866717304,,
7,0.0270358777078461,,
8,0.04473139070455234,,
9,0.03622178477649074,,
0,0.060542607337052,,
1,0.0900359502498209,,
2,0.0215218395361245,,
3,0.1622200026233682,,
4,0.0156294206550211,,
5,0.0435634955591841,,
6,0.1048996539046993,,
7,0.076814464591298,,
8,0.0682095011721419,,
9,0.1088968890069108,,
10,0.1732633982028031,,
11,0.1212712999537442,,
12,0.142050362223991,,
13,0.0648874936291759,,
14,0.1336191425082487,,
15,0.0916378685368006,,
16,0.0349116060269243,,
17,0.1573093486861876,,
18,0.0493786424289024,,
19,0.1209247850249615,,
20,,0.1094334016194626,
21,,0.1702945987343196,
22,,0.0766961925262106,
23,,0.1034064759817963,
24,,0.201307749694934,
25,,0.0887492469136401,
26,,0.0753668376796352,
27,,0.0331919235335189,
28,,0.1138607927706982,
29,,0.0951964137091789,
30,,,0.1789052843731089
31,,,0.0465111621011158
32,,,0.0539281433414022
33,,,0.0358111473501137
34,,,0.0820411806191114
35,,,0.0608779395331287
36,,,0.0638879867020993
37,,,0.0672972967607354
38,,,0.1091638476751879
39,,,0.0803432307525509
40,0.2127499534702122,,
41,0.058991286433486,,
42,0.0103983517232078,,
43,0.0758008980943398,,
44,0.1568558947825526,,
45,0.1014561669485911,,
46,0.1104256319525451,,
47,0.1064202617243101,,
48,0.1093207697747513,,
49,0.0447121097514906,,
