,X,Y,Z,concentration
0,250.0,10.0,3.0,3.2618153845307987
1,250.0,20.0,3.0,1.8884689504668402
2,250.0,30.0,3.0,0.3664892704605979
3,350.0,10.0,3.0,2.136207603188689
4,350.0,20.0,3.0,1.6204736074811017
5,350.0,30.0,3.0,0.7073550835310728
6,450.0,10.0,3.0,1.5359194819356248
7,450.0,20.0,3.0,1.2996581322207361
8,450.0,30.0,3.0,0.7874285681280909
9,250.0,-10.0,3.0,0.3664892704605979
10,250.0,-20.0,3.0,0.023840404742062938
11,250.0,-30.0,3.0,0.000519836688909786
12,350.0,-10.0,3.0,0.7073550835310728
13,350.0,-20.0,3.0,0.17767650679226146
14,350.0,-30.0,3.0,0.025681450345080813
15,450.0,-10.0,3.0,0.7874285681280909
16,450.0,-20.0,3.0,0.34159740630670793
17,450.0,-30.0,3.0,0.10610584807598503
